Date,Bonds,Stocks
2016-01-01,0.03,-6.59574
2016-02-01,-0.04,-0.73905
2016-03-01,-0.14,6.17173
2016-04-01,-0.2,2.64997
2016-05-01,0.03,-0.48105
2016-06-01,-0.15,0.88792
2016-07-01,-0.22,3.11967
2016-08-01,0.04,1.32999
2016-09-01,0.09,-0.9089
2016-10-01,0.1,-0.67989
2016-11-01,0.35,1.02494
2016-12-01,0.2,3.77108
2017-01-01,-0.14,1.26799
2017-02-01,0.03,2.40843
2017-03-01,0.06,1.58425
2017-04-01,-0.14,-0.31742
2017-05-01,-0.02,1.52741
2017-06-01,-0.17,1.61311
2017-07-01,0.02,0.82651
2017-08-01,-0.07,0.08641
2017-09-01,0.0,1.49082
2017-10-01,-0.03,2.57362
2017-11-01,-0.03,1.4317
2017-12-01,-0.06,2.72728
2018-01-01,0.04,4.70898
2018-02-01,0.27,-3.03421
2018-03-01,0.05,-0.08803
2018-04-01,-0.02,-1.81845
2018-05-01,0.15,1.80389
2018-06-01,-0.04,1.95667
2018-07-01,-0.09,1.42649
2018-08-01,0.01,2.29725
2018-09-01,0.1,1.52844
2018-10-01,0.16,-3.99916
2018-11-01,0.08,-2.23429
2018-12-01,-0.2,-5.72563
2019-01-01,-0.09,1.56127
2019-02-01,-0.14,5.65601
2019-03-01,-0.02,1.78301
2019-04-01,-0.08,3.5598
2019-05-01,-0.02,-1.69068
2019-06-01,-0.25,1.24216
2019-07-01,-0.13,3.6658
2019-08-01,-0.31,-3.29145
2019-09-01,0.05,2.92176
2019-10-01,-0.02,-0.15025
2019-11-01,0.05,4.27277
2019-12-01,-0.05,2.31392
2020-01-01,-0.07,3.19362
2020-02-01,-0.16,-0.02711
2020-03-01,0.24,-19.06807
2020-04-01,-0.59,4.13142
2020-05-01,0.07,5.7075
2020-06-01,-0.06,6.33802
2020-07-01,-0.3,3.31625
2020-08-01,0.11,5.73918
2020-09-01,0.06,-0.77228
2020-10-01,0.04,1.58028
2020-11-01,-0.05,3.81113
2020-12-01,-0.04,4.12279
2021-01-01,0.19,2.66387
2021-02-01,0.25,2.36399
2021-03-01,0.34,0.69722
2021-04-01,-0.14,5.89867
2021-05-01,0.06,0.6441
2021-06-01,-0.17,1.69488
2021-07-01,-0.22,2.95443
2021-08-01,-0.02,2.07377
2021-09-01,-0.02,-0.19449
2021-10-01,0.15,0.3411
2021-11-01,-0.06,4.63334
2021-12-01,0.03,0.15825
2022-01-01,0.28,-2.15962
2022-02-01,0.32,-3.01357
2022-03-01,0.18,-1.00801
2022-04-01,0.33,0.0007
2022-05-01,0.37,-7.99163
2022-06-01,0.11,-3.50002
2022-07-01,-0.18,0.32785
2022-08-01,0.01,6.31009
2022-09-01,0.52,-7.40743
2022-10-01,0.51,-3.23254
2022-11-01,-0.2,5.13782
2022-12-01,-0.47,-0.13038
2023-01-01,-0.03,1.23392
2023-02-01,0.16,3.00527
2023-03-01,0.04,-2.72388
2023-04-01,-0.13,3.85299
2023-05-01,0.2,0.59944
2023-06-01,-0.02,4.80442
2023-07-01,0.01,3.74427
2023-08-01,0.29,-1.12502
2023-09-01,0.18,-1.08279
2023-10-01,0.48,-3.16832
2023-11-01,-0.33,4.46579
2023-12-01,-0.54,5.04451
2024-01-01,0.13,2.54938
2024-02-01,0.16,4.31825
2024-03-01,-0.02,3.16465
2024-04-01,0.27,-1.12328
2024-05-01,-0.03,2.40064
2024-06-01,-0.12,3.43663
2024-07-01,-0.01,2.2689
2024-08-01,-0.25,-1.07963
2024-09-01,-0.19,2.61118
2024-10-01,0.27,3.04307
2024-11-01,0.19,2.3755
2024-12-01,0.06,1.36583

